vars,creation_time,label,trial_id,asset_key,type,class,object_type
{},2023-02-16 17:01:17,stimulus,1,headphone_test/nodes/node_4__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:01:27,stimulus,2,headphone_test/nodes/node_1__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:01:36,stimulus,3,headphone_test/nodes/node_2__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:01:44,stimulus,4,headphone_test/nodes/node_6__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:01:51,stimulus,5,headphone_test/nodes/node_3__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:01:53,stimulus,6,headphone_test/nodes/node_3__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:02:00,stimulus,7,headphone_test/nodes/node_5__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:02:02,stimulus,8,headphone_test/nodes/node_5__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:02:13,stimulus,9,headphone_test/nodes/node_4__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:02:21,stimulus,10,headphone_test/nodes/node_1__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:02:23,stimulus,11,consonance_main_experiment/participants/participant_2/node_8__trial_11__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:02:28,stimulus,12,headphone_test/nodes/node_2__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:02:33,stimulus,13,consonance_main_experiment/participants/participant_2/node_43__trial_13__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:02:35,stimulus,14,headphone_test/nodes/node_6__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:02:39,stimulus,15,consonance_main_experiment/participants/participant_2/node_27__trial_15__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:02:50,stimulus,16,consonance_main_experiment/participants/participant_2/node_18__trial_16__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:02:57,stimulus,17,consonance_main_experiment/participants/participant_2/node_33__trial_17__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:02:58,stimulus,18,consonance_main_experiment/participants/participant_3/node_14__trial_18__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:03:03,stimulus,19,consonance_main_experiment/participants/participant_2/node_52__trial_19__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:03:04,stimulus,20,consonance_main_experiment/participants/participant_3/node_20__trial_20__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:03:11,stimulus,21,consonance_main_experiment/participants/participant_2/node_21__trial_21__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:03:16,stimulus,22,consonance_main_experiment/participants/participant_3/node_34__trial_22__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:03:16,stimulus,23,consonance_main_experiment/participants/participant_2/node_48__trial_23__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:03:21,stimulus,24,consonance_main_experiment/participants/participant_3/node_30__trial_24__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:03:22,stimulus,25,consonance_main_experiment/participants/participant_2/node_25__trial_25__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:03:26,stimulus,26,consonance_main_experiment/participants/participant_3/node_11__trial_26__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:03:27,stimulus,27,consonance_main_experiment/participants/participant_2/node_20__trial_27__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:03:30,stimulus,28,consonance_main_experiment/participants/participant_3/node_40__trial_28__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:03:32,stimulus,29,consonance_main_experiment/participants/participant_2/node_7__trial_29__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:03:35,stimulus,30,consonance_main_experiment/participants/participant_3/node_38__trial_30__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:03:38,stimulus,31,consonance_main_experiment/participants/participant_2/node_44__trial_31__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:03:40,stimulus,32,consonance_main_experiment/participants/participant_3/node_29__trial_32__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:03:44,stimulus,33,consonance_main_experiment/participants/participant_2/node_56__trial_33__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:03:45,stimulus,34,consonance_main_experiment/participants/participant_3/node_17__trial_34__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:03:49,stimulus,35,consonance_main_experiment/participants/participant_2/node_47__trial_35__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:03:50,stimulus,36,consonance_main_experiment/participants/participant_3/node_46__trial_36__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:03:55,stimulus,37,consonance_main_experiment/participants/participant_2/node_13__trial_37__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:03:55,stimulus,38,consonance_main_experiment/participants/participant_3/node_26__trial_38__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:04:00,stimulus,39,consonance_main_experiment/participants/participant_2/node_11__trial_39__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:04:00,stimulus,40,consonance_main_experiment/participants/participant_3/node_9__trial_40__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:04:05,stimulus,41,consonance_main_experiment/participants/participant_2/node_26__trial_41__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:04:06,stimulus,42,consonance_main_experiment/participants/participant_3/node_45__trial_42__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:04:11,stimulus,43,consonance_main_experiment/participants/participant_3/node_43__trial_43__stimulus,AssetTrial,AssetTrial,AssetTrial
