vars,creation_time,failed,failed_reason,time_of_death,id,module_id,participant_id,time_started,time_finished,time_aborted,started,finished,aborted,type,participant_group,in_repeat_phase,performance_check,trials_to_repeat,repeat_trial_index,n_completed_trials,block_order,block_position,block,participated_networks,n_participant_trials_in_trial_maker,n_participant_trials_in_block,class,object_type
{},2023-02-16 17:01:17,False,,,6,headphone_test,2,2023-02-16 17:01:17,2023-02-16 17:02:11,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[4, 1, 2, 6, 3, 5]",6,6,ChainTrialMakerState,ModuleState
{},2023-02-16 17:01:50,False,,,10,headphone_test,3,2023-02-16 17:01:50,2023-02-16 17:02:41,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[3, 5, 4, 1, 2, 6]",6,6,ChainTrialMakerState,ModuleState
{},2023-02-16 17:02:23,False,,,11,consonance_main_experiment,2,2023-02-16 17:02:23,2023-02-16 17:07:26,,True,True,False,ChainTrialMakerState,default,True,"{'score': 0.8333333333333334, 'passed': True}","[29, 124, 78, 75]",4.0,54,['default'],0,default,"[8, 43, 27, 18, 33, 52, 21, 48, 25, 20, 7, 44, 56, 47, 13, 11, 26, 31, 15, 40, 12, 23, 29, 28, 51, 9, 46, 19, 10, 42, 36, 35, 50, 22, 14, 30, 41, 49, 53, 16, 17, 45, 55, 32, 54, 24, 34, 37, 38, 39, 7, 37, 22, 50]",54,54,ChainTrialMakerState,ModuleState
{},2023-02-16 17:02:58,False,,,14,consonance_main_experiment,3,2023-02-16 17:02:58,2023-02-16 17:07:31,,True,True,False,ChainTrialMakerState,default,True,"{'score': 0.7071067811865476, 'passed': True}","[20, 106, 36, 136]",4.0,54,['default'],0,default,"[14, 20, 34, 30, 11, 40, 38, 29, 17, 46, 26, 9, 45, 43, 25, 21, 53, 8, 42, 12, 10, 27, 16, 7, 18, 15, 32, 22, 56, 31, 41, 47, 36, 44, 28, 51, 24, 50, 55, 13, 39, 48, 49, 23, 52, 33, 54, 35, 37, 19, 20, 48, 46, 19]",54,54,ChainTrialMakerState,ModuleState
{},2023-02-16 17:05:31,False,,,17,headphone_test,6,2023-02-16 17:05:31,2023-02-16 17:06:07,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[3, 1, 2, 6, 4, 5]",6,6,ChainTrialMakerState,ModuleState
{},2023-02-16 17:06:08,False,,,20,headphone_test,7,2023-02-16 17:06:08,2023-02-16 17:06:57,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[5, 3, 6, 4, 2, 1]",6,6,ChainTrialMakerState,ModuleState
{},2023-02-16 17:06:20,False,,,21,consonance_main_experiment,6,2023-02-16 17:06:20,2023-02-16 17:10:36,,True,True,False,ChainTrialMakerState,default,True,"{'score': -0.5, 'passed': True}","[198, 186, 102, 179]",4.0,54,['default'],0,default,"[23, 8, 43, 25, 41, 37, 45, 9, 46, 52, 13, 30, 51, 27, 44, 18, 16, 17, 14, 35, 15, 54, 21, 31, 48, 20, 50, 29, 19, 53, 47, 32, 28, 10, 11, 49, 38, 24, 12, 34, 7, 39, 26, 33, 22, 56, 42, 36, 55, 40, 12, 32, 23, 29]",54,54,ChainTrialMakerState,ModuleState
{},2023-02-16 17:07:03,False,,,22,consonance_main_experiment,7,2023-02-16 17:07:03,,,True,False,False,ChainTrialMakerState,default,True,"{'score': None, 'passed': False}","[227, 231, 205, 190]",4.0,54,['default'],0,default,"[23, 16, 28, 48, 9, 35, 7, 34, 43, 25, 22, 21, 55, 17, 42, 47, 29, 49, 8, 19, 37, 30, 15, 38, 11, 39, 27, 44, 20, 56, 51, 24, 26, 10, 40, 52, 31, 46, 36, 41, 50, 45, 12, 18, 33, 54, 13, 32, 14, 53, 12, 33, 24, 38]",54,54,ChainTrialMakerState,ModuleState
{},2023-02-16 17:11:19,False,,,28,headphone_test,8,2023-02-16 17:11:19,2023-02-16 17:11:52,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[2, 3, 4, 5, 6, 1]",6,6,ChainTrialMakerState,ModuleState
{},2023-02-16 17:12:09,False,,,31,consonance_main_experiment,8,2023-02-16 17:12:09,2023-02-16 17:15:52,,True,True,False,ChainTrialMakerState,default,True,"{'score': 0.2581988897471611, 'passed': True}","[286, 247, 257, 258]",4.0,54,['default'],0,default,"[28, 10, 20, 40, 43, 36, 9, 44, 31, 50, 19, 12, 8, 47, 41, 7, 56, 11, 32, 35, 15, 33, 25, 55, 52, 17, 13, 34, 30, 53, 24, 29, 21, 26, 18, 54, 42, 45, 27, 23, 22, 49, 48, 46, 39, 14, 37, 38, 16, 51, 34, 28, 50, 19]",54,54,ChainTrialMakerState,ModuleState
