id,creation_time,failed,failed_reason,time_of_death,property1,property2,property3,property4,property5,details,class
1,2023-02-16 17:04:25.991716,False,,,,,,,,"{'feedback': 'I tried to refresh the page after disabling the ad blocker', 'error_text': 'There has been an error and so you are unable to continue, sorry!', 'error_type': 'already_did_exp_hit', 'request_data': {'hit_id': None, 'worker_id': None, 'participant_id': None}}",Notification
2,2023-02-16 17:09:20.920482,False,,,,,,,,{},Notification
3,2023-02-16 17:09:28.875347,False,,,,,,,,{},Notification
4,2023-02-16 17:11:33.554489,False,,,,,,,,{},Notification
5,2023-02-16 17:11:37.892064,False,,,,,,,,{},Notification
6,2023-02-16 17:17:17.489955,False,,,,,,,,{},Notification
7,2023-02-16 17:19:24.478312,False,,,,,,,,{},Notification
8,2023-02-16 17:20:18.597480,False,,,,,,,,{},Notification
9,2023-02-16 17:21:55.701017,False,,,,,,,,{},Notification
10,2023-02-16 17:25:25.224911,False,,,,,,,,{},Notification
11,2023-02-16 17:26:47.447550,False,,,,,,,,"{'feedback': 'I have had to change devices due to technical difficulties with my other computer.', 'error_text': 'There has been an error and so you are unable to continue, sorry!', 'error_type': 'already_did_exp_hit', 'request_data': {'hit_id': None, 'worker_id': None, 'participant_id': None}}",Notification
12,2023-02-16 17:27:29.472937,False,,,,,,,,{},Notification
13,2023-02-16 17:33:36.966659,False,,,,,,,,{},Notification
14,2023-02-16 17:33:42.346597,False,,,,,,,,{},Notification
15,2023-02-16 17:36:17.230124,False,,,,,,,,"{'feedback': 'Study would not let me proceed to the audio the next button was not active. ', 'error_text': 'There has been an error and so you are unable to continue, sorry!', 'error_type': 'already_did_exp_hit', 'request_data': {'hit_id': None, 'worker_id': None, 'participant_id': None}}",Notification
16,2023-02-16 17:37:35.690179,False,,,,,,,,"{'feedback': 'No audio - my audio and internet connection are fine', 'error_text': 'There has been an error and so you are unable to continue, sorry!', 'error_type': 'already_did_exp_hit', 'request_data': {'hit_id': None, 'worker_id': None, 'participant_id': None}}",Notification
17,2023-02-16 17:38:30.333035,False,,,,,,,,"{'feedback': 'it got stuck and did not let me to press next', 'error_text': 'There has been an error and so you are unable to continue, sorry!', 'error_type': 'already_did_exp_hit', 'request_data': {'hit_id': None, 'worker_id': None, 'participant_id': None}}",Notification
18,2023-02-16 17:42:53.192895,False,,,,,,,,{},Notification
19,2023-02-16 17:43:13.475629,False,,,,,,,,{},Notification
