awaiting_async_process,vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,_on_create_called,_on_deploy_called,ready_for_trials,key,degree,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type
False,{},7,2023-02-16 16:47:46,False,,,TrialSource,7,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 0}",,default,default,False,107,StaticNode,Node
False,{},8,2023-02-16 16:47:46,False,,,TrialSource,8,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 1}",,default,default,False,107,StaticNode,Node
False,{},9,2023-02-16 16:47:46,False,,,TrialSource,9,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 2}",,default,default,False,107,StaticNode,Node
False,{},10,2023-02-16 16:47:46,False,,,TrialSource,10,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 3}",,default,default,False,107,StaticNode,Node
False,{},11,2023-02-16 16:47:46,False,,,TrialSource,11,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 4}",,default,default,False,107,StaticNode,Node
False,{},12,2023-02-16 16:47:47,False,,,TrialSource,12,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 5}",,default,default,False,107,StaticNode,Node
False,{},13,2023-02-16 16:47:47,False,,,TrialSource,13,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 6}",,default,default,False,107,StaticNode,Node
False,{},14,2023-02-16 16:47:47,False,,,TrialSource,14,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 7}",,default,default,False,107,StaticNode,Node
False,{},15,2023-02-16 16:47:47,False,,,TrialSource,15,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 8}",,default,default,False,107,StaticNode,Node
False,{},16,2023-02-16 16:47:47,False,,,TrialSource,16,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 9}",,default,default,False,107,StaticNode,Node
False,{},17,2023-02-16 16:47:47,False,,,TrialSource,17,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 10}",,default,default,False,107,StaticNode,Node
False,{},18,2023-02-16 16:47:47,False,,,TrialSource,18,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 11}",,default,default,False,107,StaticNode,Node
False,{},19,2023-02-16 16:47:47,False,,,TrialSource,19,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 12}",,default,default,False,107,StaticNode,Node
False,{},20,2023-02-16 16:47:47,False,,,TrialSource,20,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 13}",,default,default,False,107,StaticNode,Node
False,{},21,2023-02-16 16:47:47,False,,,TrialSource,21,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 14}",,default,default,False,107,StaticNode,Node
False,{},22,2023-02-16 16:47:47,False,,,TrialSource,22,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 15}",,default,default,False,107,StaticNode,Node
False,{},23,2023-02-16 16:47:47,False,,,TrialSource,23,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 16}",,default,default,False,107,StaticNode,Node
False,{},24,2023-02-16 16:47:47,False,,,TrialSource,24,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 17}",,default,default,False,107,StaticNode,Node
False,{},25,2023-02-16 16:47:47,False,,,TrialSource,25,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 18}",,default,default,False,107,StaticNode,Node
False,{},26,2023-02-16 16:47:47,False,,,TrialSource,26,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 19}",,default,default,False,107,StaticNode,Node
False,{},27,2023-02-16 16:47:47,False,,,TrialSource,27,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 20}",,default,default,False,107,StaticNode,Node
False,{},28,2023-02-16 16:47:48,False,,,TrialSource,28,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 21}",,default,default,False,107,StaticNode,Node
False,{},29,2023-02-16 16:47:48,False,,,TrialSource,29,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 22}",,default,default,False,107,StaticNode,Node
False,{},30,2023-02-16 16:47:48,False,,,TrialSource,30,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 23}",,default,default,False,107,StaticNode,Node
False,{},31,2023-02-16 16:47:48,False,,,TrialSource,31,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 24}",,default,default,False,107,StaticNode,Node
False,{},32,2023-02-16 16:47:48,False,,,TrialSource,32,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 25}",,default,default,False,107,StaticNode,Node
False,{},33,2023-02-16 16:47:48,False,,,TrialSource,33,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 26}",,default,default,False,107,StaticNode,Node
False,{},34,2023-02-16 16:47:48,False,,,TrialSource,34,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 27}",,default,default,False,107,StaticNode,Node
False,{},35,2023-02-16 16:47:48,False,,,TrialSource,35,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 28}",,default,default,False,107,StaticNode,Node
False,{},36,2023-02-16 16:47:48,False,,,TrialSource,36,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 29}",,default,default,False,107,StaticNode,Node
False,{},37,2023-02-16 16:47:48,False,,,TrialSource,37,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 30}",,default,default,False,107,StaticNode,Node
False,{},38,2023-02-16 16:47:48,False,,,TrialSource,38,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 31}",,default,default,False,107,StaticNode,Node
False,{},39,2023-02-16 16:47:48,False,,,TrialSource,39,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 32}",,default,default,False,107,StaticNode,Node
False,{},40,2023-02-16 16:47:49,False,,,TrialSource,40,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 33}",,default,default,False,107,StaticNode,Node
False,{},41,2023-02-16 16:47:49,False,,,TrialSource,41,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 34}",,default,default,False,107,StaticNode,Node
False,{},42,2023-02-16 16:47:49,False,,,TrialSource,42,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 35}",,default,default,False,107,StaticNode,Node
False,{},43,2023-02-16 16:47:49,False,,,TrialSource,43,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 36}",,default,default,False,107,StaticNode,Node
False,{},44,2023-02-16 16:47:49,False,,,TrialSource,44,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 37}",,default,default,False,107,StaticNode,Node
False,{},45,2023-02-16 16:47:49,False,,,TrialSource,45,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 38}",,default,default,False,107,StaticNode,Node
False,{},46,2023-02-16 16:47:49,False,,,TrialSource,46,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 39}",,default,default,False,107,StaticNode,Node
False,{},47,2023-02-16 16:47:49,False,,,TrialSource,47,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 40}",,default,default,False,107,StaticNode,Node
False,{},48,2023-02-16 16:47:49,False,,,TrialSource,48,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 41}",,default,default,False,107,StaticNode,Node
False,{},49,2023-02-16 16:47:49,False,,,TrialSource,49,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 42}",,default,default,False,107,StaticNode,Node
False,{},50,2023-02-16 16:47:49,False,,,TrialSource,50,,consonance_main_experiment,consonance_main_experiment,True,False,True,,0,,,{},"{'timbre': 'carillon', 'repetition': 43}",,default,default,False,107,StaticNode,Node
