experiment,interval,value,measure,measure_group,colour,timbre,ymin,ymax
Experiment,0,0.5096636638286548,Participants,,black,Harmonic,0.25291835717475486,0.7664089704825547
Experiment,0.015015015015015015,0.5014276085455124,Participants,,black,Harmonic,0.2491895556353051,0.7536656614557197
Experiment,0.03003003003003003,0.49258279467728794,Participants,,black,Harmonic,0.2448220808012276,0.7403435085533483
Experiment,0.04504504504504504,0.48310215215365104,Participants,,black,Harmonic,0.23978439557917608,0.726419908728126
Experiment,0.06006006006006006,0.4729599338619906,Participants,,black,Harmonic,0.23404673873537835,0.7118731289886029
Experiment,0.07507507507507508,0.46213214954320597,Participants,,black,Harmonic,0.22758162138630836,0.6966826777001036
Experiment,0.09009009009009009,0.4505970373676959,Participants,,black,Harmonic,0.2203643347299002,0.6808297400054917
Experiment,0.10510510510510511,0.438335569280734,Participants,,black,Harmonic,0.21237345578953934,0.6642976827719287
Experiment,0.12012012012012012,0.42533198443515535,Participants,,black,Harmonic,0.2035913363419054,0.6470726325284053
Experiment,0.13513513513513514,0.41157434310816327,Participants,,black,Harmonic,0.19400455939803035,0.6291441268182962
Experiment,0.15015015015015015,0.3970550914940684,Participants,,black,Harmonic,0.18360434788897254,0.6105058350991643
Experiment,0.16516516516516516,0.3817716257651232,Participants,,black,Harmonic,0.17238691181961338,0.591156339710633
Experiment,0.18018018018018017,0.36572684190868004,Participants,,black,Harmonic,0.16035372325937763,0.5710999605579825
Experiment,0.19519519519519518,0.3489296562095812,Participants,,black,Harmonic,0.14751171317117318,0.5503475992479893
Experiment,0.21021021021021022,0.33139547999115737,Participants,,black,Harmonic,0.13387339009521523,0.5289175698870995
Experiment,0.22522522522522523,0.3131466314969823,Participants,,black,Harmonic,0.1194568877405437,0.5068363752534208
Experiment,0.24024024024024024,0.29421266771613747,Participants,,black,Harmonic,0.10428595598274942,0.4841393794495255
Experiment,0.2552552552552553,0.2746306196278933,Participants,,black,Harmonic,0.08838991675317229,0.4608713225026143
Experiment,0.2702702702702703,0.2544451158247647,Participants,,black,Harmonic,0.07180361172665753,0.4370866199228719
Experiment,0.2852852852852853,0.23370838176703418,Participants,,black,Harmonic,0.05456737129645384,0.4128493922376145
Experiment,0.3003003003003003,0.21248010496201758,Participants,,black,Harmonic,0.03672703275343461,0.3882331771706006
Experiment,0.3153153153153153,0.19082716001363306,Participants,,black,Harmonic,0.01833402872960213,0.36332029129766397
