type,pitch_interval,pleasantness,pleasantness_se
Carillon,0,NA,NA
Carillon,0.01,1.3711282639751396,NA
Carillon,0.02,1.319655363842616,0.15175813947479513
Carillon,0.03,1.268728298499651,0.14692488789319746
Carillon,0.04,1.2183479159443573,0.142263080620805
Carillon,0.05,1.168515064174846,0.137776488713724
Carillon,0.06,1.1192305911892302,0.13346883757119368
Carillon,0.07,1.0704953449856212,0.12934375662750816
Carillon,0.08,1.022310173562131,0.12540471966791944
Carillon,0.09,0.974675924916872,0.12165497544034824
Carillon,0.1,0.9275934470479559,0.1180974686610388
Carillon,0.11,0.8810635879534944,0.11473475207982109
Carillon,0.12,0.8350871956316004,0.11156889097611729
Carillon,0.13,0.789665118080385,0.1086013622771106
Carillon,0.14,0.7447982032979609,0.10583295137632855
Carillon,0.15,0.7004872992824395,0.10326365060819079
Carillon,0.16,0.6567332540319334,0.1008925641000308
Carillon,0.17,0.6135369155445541,0.09871782425879279
Carillon,0.18,0.5708991318184138,0.09673652533480363
Carillon,0.19,0.5288207508516246,0.09494467898258505
Carillon,0.2,0.4873026206422985,0.09333721944373577
Carillon,0.21,0.4463455891885474,0.0919079914990097
Carillon,0.22,0.4059505044884832,0.09064990103693359
Carillon,0.23,0.3661182145402182,0.08955506513183281
Carillon,0.24,0.3268495673418644,0.08861489646194168
Carillon,0.25,0.2881454108915334,0.08781977718466362
Carillon,0.26,0.25000659318733753,0.08715934584706907
Carillon,0.27,0.2124339622273886,0.08662342740244167
Carillon,0.28,0.1754283660097988,0.08620167490302642
Carillon,0.29,0.13900732224674534,0.08588308724985627
Carillon,0.3,0.10318487824192092,0.08565606731297984
Carillon,0.31,0.06795530938084943,0.0855101847996295
Carillon,0.32,0.03331288813118727,0.08543626615960191
Carillon,0.33,-7.481130394090702e-4,0.0854260243341648
Carillon,0.34,-0.034233421663283095,0.08547158793636432
Carillon,0.35000000000000003,-0.06714876527277833,0.08556608020090917
Carillon,0.36,-0.09949987140023817,0.0857034108607129
Carillon,0.37,-0.1312924675780064,0.08587759154855078
Carillon,0.38,-0.16253228133842648,0.08608362678517373
Carillon,0.39,-0.19322504021384193,0.08631687886823151
Carillon,0.4,-0.22337647173659622,0.08657298751650007
Carillon,0.41000000000000003,-0.25299230343903295,0.08684771996840894
Carillon,0.42,-0.28207826285349535,0.0871372791899864
Carillon,0.43,-0.3106400775123274,0.08743810394809086
