interval,timbre_type,model,value
0,Carillon,roughness,0.05864013900674549
0,Carillon,harmonicity,1.5045208583301408
0,Harmonic,roughness,0.00161417168982
0,Harmonic,harmonicity,1.7564439877637577
0.01,Carillon,roughness,0.07262520619089448
0.01,Carillon,harmonicity,1.5019509651960967
0.01,Harmonic,roughness,0.004125676592674346
0.01,Harmonic,harmonicity,1.8397405494403296
0.02,Carillon,roughness,0.0743112292615437
0.02,Carillon,harmonicity,1.4969169583790902
0.02,Harmonic,roughness,0.006698373646300267
0.02,Harmonic,harmonicity,1.7498828974234364
0.03,Carillon,roughness,0.0765759651190372
0.03,Carillon,harmonicity,1.4928100090518823
0.03,Harmonic,roughness,0.010770923636133889
0.03,Harmonic,harmonicity,1.7418322350258324
0.04,Carillon,roughness,0.07938593621286648
0.04,Carillon,harmonicity,1.4808808976015855
0.04,Harmonic,roughness,0.016180591161812835
0.04,Harmonic,harmonicity,1.7307939376868162
0.05,Carillon,roughness,0.08270954634217392
0.05,Carillon,harmonicity,1.4699376646159574
0.05,Harmonic,roughness,0.022776612100306917
0.05,Harmonic,harmonicity,1.7169420872841832
0.06,Carillon,roughness,0.08651704037240339
0.06,Carillon,harmonicity,1.4572125000048328
0.06,Harmonic,roughness,0.030419436281801222
0.06,Harmonic,harmonicity,1.7004870839124355
0.07,Carillon,roughness,0.09078045226409702
0.07,Carillon,harmonicity,1.442851926691847
0.07,Harmonic,roughness,0.03898001446054591
0.07,Harmonic,harmonicity,1.6816681387168453
0.08,Carillon,roughness,0.09547296603053922
0.08,Carillon,harmonicity,1.4270146027518347
0.08,Harmonic,roughness,0.04833912711335026
0.08,Harmonic,harmonicity,1.6613915468719909
0.09,Carillon,roughness,0.1005686629837982
0.09,Carillon,harmonicity,1.4099593595812792
0.09,Harmonic,roughness,0.05865757859438113
0.09,Harmonic,harmonicity,1.6411092727290029
0.1,Carillon,roughness,0.1060432667503429
0.1,Carillon,harmonicity,1.391584992209669
0.1,Harmonic,roughness,0.06907353744963132
0.1,Harmonic,harmonicity,1.6136962130615085
0.11,Carillon,roughness,0.1118740632016064
0.11,Carillon,harmonicity,1.3783686015192615
0.11,Harmonic,roughness,0.08021958215585977
0.11,Harmonic,harmonicity,1.593381003973242
0.12,Carillon,roughness,0.11803639789869178
0.12,Carillon,harmonicity,1.352313121318247
0.12,Harmonic,roughness,0.09177352231832811
0.12,Harmonic,harmonicity,1.5670455607317568
0.13,Carillon,roughness,0.12450292850331995
0.13,Carillon,harmonicity,1.3316736492394299
0.13,Harmonic,roughness,0.10365654526720153
0.13,Harmonic,harmonicity,1.5399396869948825
0.14,Carillon,roughness,0.13124761230931006
0.14,Carillon,harmonicity,1.3105924827030517
0.14,Harmonic,roughness,0.11579639694591327
0.14,Harmonic,harmonicity,1.5123261740058862
0.15,Carillon,roughness,0.13824591338230477
0.15,Carillon,harmonicity,1.289233223666261
0.15,Harmonic,roughness,0.1281269447542128
0.15,Harmonic,harmonicity,1.478713840642789
0.16,Carillon,roughness,0.14547475978169377
0.16,Carillon,harmonicity,1.2677522169266637
0.16,Harmonic,roughness,0.1405877667193139
0.16,Harmonic,harmonicity,1.451638227228203
0.17,Carillon,roughness,0.1529125033379987
0.17,Carillon,harmonicity,1.2463256439427899
0.17,Harmonic,roughness,0.15312376550029988
0.17,Harmonic,harmonicity,1.4270580396632593
0.18,Carillon,roughness,0.16053888195545915
0.18,Carillon,harmonicity,1.2269004859676953
0.18,Harmonic,roughness,0.16568480581240266
0.18,Harmonic,harmonicity,1.399768161579704
0.19,Carillon,roughness,0.16833498441358208
0.19,Carillon,harmonicity,1.2118056228182073
0.19,Harmonic,roughness,0.17822537393528518
0.19,Harmonic,harmonicity,1.3693005599413115
0.2,Carillon,roughness,0.17589279979072944
0.2,Carillon,harmonicity,1.1910263725837698
0.2,Harmonic,roughness,0.19070425804251545
0.2,Harmonic,harmonicity,1.343404721293378
0.21,Carillon,roughness,0.1839843409393028
0.21,Carillon,harmonicity,1.1652245776991113
0.21,Harmonic,roughness,0.20308424815843804
0.21,Harmonic,harmonicity,1.318378508580918
0.22,Carillon,roughness,0.1921964887699141
0.22,Carillon,harmonicity,1.1439108248427758
0.22,Harmonic,roughness,0.21533185461482668
0.22,Harmonic,harmonicity,1.2943289657934
0.23,Carillon,roughness,0.20051478946873325
0.23,Carillon,harmonicity,1.125162542289841
0.23,Harmonic,roughness,0.22721285336410438
0.23,Harmonic,harmonicity,1.271343222518402
0.24,Carillon,roughness,0.20892423684746933
0.24,Carillon,harmonicity,1.1071908288792938
0.24,Harmonic,roughness,0.2391163915008631
0.24,Harmonic,harmonicity,1.250178047388615
0.25,Carillon,roughness,0.2174103786953808
0.25,Carillon,harmonicity,1.090060269309361
0.25,Harmonic,roughness,0.2508065672677997
0.25,Harmonic,harmonicity,1.229489690763262
0.26,Carillon,roughness,0.225957145234701
0.26,Carillon,harmonicity,1.0736771830079288
0.26,Harmonic,roughness,0.2622622999182408
0.26,Harmonic,harmonicity,1.2120724807815375
0.27,Carillon,roughness,0.23454742415349136
0.27,Carillon,harmonicity,1.058530632385318
0.27,Harmonic,roughness,0.2734650631852849
0.27,Harmonic,harmonicity,1.1911390852563741
0.28,Carillon,roughness,0.2431650894574765
0.28,Carillon,harmonicity,1.0477242629838737
0.28,Harmonic,roughness,0.28439869431074166
0.28,Harmonic,harmonicity,1.1741547887398291
0.29,Carillon,roughness,0.25179501036487545
0.29,Carillon,harmonicity,1.03089454351388
0.29,Harmonic,roughness,0.29504921524206695
0.29,Harmonic,harmonicity,1.1584005582193084
0.3,Carillon,roughness,0.2604230065515125
0.3,Carillon,harmonicity,1.0190056324941432
0.3,Harmonic,roughness,0.3054046652823766
0.3,Harmonic,harmonicity,1.1438575317280584
0.31,Carillon,roughness,0.26903580532321003
0.31,Carillon,harmonicity,1.0077194771658458
0.31,Harmonic,roughness,0.31545494451851497
0.31,Harmonic,harmonicity,1.1304975293047168
0.32,Carillon,roughness,0.2776210006412042
0.32,Carillon,harmonicity,0.9974538178739122
0.32,Harmonic,roughness,0.32519166738976346
0.32,Harmonic,harmonicity,1.118284532233675
0.33,Carillon,roughness,0.28616701392953714
0.33,Carillon,harmonicity,0.9882042086821483
0.33,Harmonic,roughness,0.33491282464092
0.33,Harmonic,harmonicity,1.1075488882750635
0.34,Carillon,roughness,0.29466305659604763
0.34,Carillon,harmonicity,0.9792818463031032
0.34,Harmonic,roughness,0.3440132662420766
0.34,Harmonic,harmonicity,1.0985311796448598
0.35000000000000003,Carillon,roughness,0.3030990942017654
0.35000000000000003,Carillon,harmonicity,0.9724958005047255
0.35000000000000003,Harmonic,roughness,0.3527842627170336
0.35000000000000003,Harmonic,harmonicity,1.0880791148270414
0.36,Carillon,roughness,0.311465812216024
0.36,Carillon,harmonicity,0.9673985337232759
0.36,Harmonic,roughness,0.36122301322811445
0.36,Harmonic,harmonicity,1.0799852344002954
0.37,Carillon,roughness,0.31975458329730405
0.37,Carillon,harmonicity,0.9609848690261411
0.37,Harmonic,roughness,0.3693278315933293
0.37,Harmonic,harmonicity,1.0725760044083323
0.38,Carillon,roughness,0.3279574360424638
0.38,Carillon,harmonicity,0.9566039723067884
0.38,Harmonic,roughness,0.37709804919522244
0.38,Harmonic,harmonicity,1.0664294855539387
0.39,Carillon,roughness,0.33606702514930464
0.39,Carillon,harmonicity,0.9530856200537481
0.39,Harmonic,roughness,0.38453392446908896
0.39,Harmonic,harmonicity,1.0608549972103862
0.4,Carillon,roughness,0.344076602939904
0.4,Carillon,harmonicity,0.9503831579893236
0.4,Harmonic,roughness,0.3916365585703199
0.4,Harmonic,harmonicity,1.0560084656780775
0.41000000000000003,Carillon,roughness,0.3519799921944043
0.41000000000000003,Carillon,harmonicity,0.9484453471349524
0.41000000000000003,Harmonic,roughness,0.3984078168437185
0.41000000000000003,Harmonic,harmonicity,1.051983175390425
0.42,Carillon,roughness,0.35977156024709683
0.42,Carillon,harmonicity,0.9472167700112447
0.42,Harmonic,roughness,0.40485025573901734
0.42,Harmonic,harmonicity,1.0482838526906326
0.43,Carillon,roughness,0.36744619429879716
0.43,Carillon,harmonicity,0.9466382809124793
0.43,Harmonic,roughness,0.4109670548371943
0.43,Harmonic,harmonicity,1.0453025519724168
0.44,Carillon,roughness,0.37499927790157955
0.44,Carillon,harmonicity,0.9460705602985929
0.44,Harmonic,roughness,0.4167619536716697
0.44,Harmonic,harmonicity,1.0428432486515475
0.45,Carillon,roughness,0.38242666857385554
0.45,Carillon,harmonicity,0.9464630063551805
0.45,Harmonic,roughness,0.4222391930465255
0.45,Harmonic,harmonicity,1.0408048005652693
0.46,Carillon,roughness,0.38972467650569015
0.46,Carillon,harmonicity,0.9481668013304435
0.46,Harmonic,roughness,0.4274034605709963
0.46,Harmonic,harmonicity,1.0393080157018908
0.47000000000000003,Carillon,roughness,0.39689004431620384
0.47000000000000003,Carillon,harmonicity,0.9495411748090965
0.47000000000000003,Harmonic,roughness,0.43225984014608576
0.47000000000000003,Harmonic,harmonicity,1.0381463540234037
0.48,Carillon,roughness,0.40391992782649433
0.48,Carillon,harmonicity,0.9512331921600298
0.48,Harmonic,roughness,0.4368137651540487
0.48,Harmonic,harmonicity,1.0373350580948164
0.49,Carillon,roughness,0.4108118778134204
0.49,Carillon,harmonicity,0.9531734939889344
0.49,Harmonic,roughness,0.44107097511639376
0.49,Harmonic,harmonicity,1.0368250205059975
0.5,Carillon,roughness,0.4175638227111556
0.5,Carillon,harmonicity,0.9552934046185783
0.5,Harmonic,roughness,0.4450374755994981
0.5,Harmonic,harmonicity,1.0365686448163554
0.51,Carillon,roughness,0.42417405222901244
0.51,Carillon,harmonicity,0.9575256606309392
0.51,Harmonic,roughness,0.44871950115989395
0.51,Harmonic,harmonicity,1.0366347301195709
0.52,Carillon,roughness,0.43064120185570764
0.52,Carillon,harmonicity,0.9598051299782842
0.52,Harmonic,roughness,0.4521234811335995
0.52,Harmonic,harmonicity,1.0368645034644772
0.53,Carillon,roughness,0.43696423822163044
0.53,Carillon,harmonicity,0.9609346610132434
0.53,Harmonic,roughness,0.4552560080852676
0.53,Harmonic,harmonicity,1.0372721298539427
0.54,Carillon,roughness,0.4431424452922002
0.54,Carillon,harmonicity,0.9642599907768241
0.54,Harmonic,roughness,0.4581238087438064
0.54,Harmonic,harmonicity,1.0378272110328197
0.55,Carillon,roughness,0.44917541136685035
0.55,Carillon,harmonicity,0.9663218795927142
0.55,Harmonic,roughness,0.4607337172614766
0.55,Harmonic,harmonicity,1.0385004530876336
0.56,Carillon,roughness,0.4550630168594905
0.56,Carillon,harmonicity,0.968205163864511
0.56,Harmonic,roughness,0.4630926506430753
0.56,Harmonic,harmonicity,1.0392636276726712
0.5700000000000001,Carillon,roughness,0.4608054228376566
0.5700000000000001,Carillon,harmonicity,0.9698650114059778
0.5700000000000001,Harmonic,roughness,0.46520758620090075
0.5700000000000001,Harmonic,harmonicity,1.0400895847919551
0.58,Carillon,roughness,0.4664030602989849
0.58,Carillon,harmonicity,0.9712621877025938
0.58,Harmonic,roughness,0.46708554089999854
0.58,Harmonic,harmonicity,1.0411949968555885
0.59,Carillon,roughness,0.4718566201646471
0.59,Carillon,harmonicity,0.9723633786307682
0.59,Harmonic,roughness,0.46873355246604365
0.59,Harmonic,harmonicity,1.0418271156223091
0.6,Carillon,roughness,0.4771670439709646
0.6,Carillon,harmonicity,0.9731414060725031
0.6,Harmonic,roughness,0.4701586621361517
0.6,Harmonic,harmonicity,1.0426906995867062
0.61,Carillon,roughness,0.48233550700692107
0.61,Carillon,harmonicity,0.9730992642009109
0.61,Harmonic,roughness,0.4713678989399284
0.61,Harmonic,harmonicity,1.043521501061057
0.62,Carillon,roughness,0.487362685100603
0.62,Carillon,harmonicity,0.9736504190340046
0.62,Harmonic,roughness,0.4723682654049718
0.62,Harmonic,harmonicity,1.0448238389199906
0.63,Carillon,roughness,0.49224817615124095
0.63,Carillon,harmonicity,0.9733580357131245
0.63,Harmonic,roughness,0.4731667245874813
0.63,Harmonic,harmonicity,1.0450084959161967
0.64,Carillon,roughness,0.49699165372925036
0.64,Carillon,harmonicity,0.9726953711551408
0.64,Harmonic,roughness,0.4737701883346204
0.64,Harmonic,harmonicity,1.0456323826057272
0.65,Carillon,roughness,0.5015929880560829
0.65,Carillon,harmonicity,0.9716651159010592
0.65,Harmonic,roughness,0.47418550669099707
0.65,Harmonic,harmonicity,1.04615937324806
0.66,Carillon,roughness,0.5060522340580281
0.66,Carillon,harmonicity,0.9702750420764918
0.66,Harmonic,roughness,0.4744194583670546
0.66,Harmonic,harmonicity,1.0472167346158898
0.67,Carillon,roughness,0.5103696199589542
0.67,Carillon,harmonicity,0.9685375350736838
0.67,Harmonic,roughness,0.47447874219214903
0.67,Harmonic,harmonicity,1.0468887077592552
0.68,Carillon,roughness,0.5145455363897676
0.68,Carillon,harmonicity,0.9664690981848952
0.68,Harmonic,roughness,0.474369969479881
0.68,Harmonic,harmonicity,1.0470819105567364
0.6900000000000001,Carillon,roughness,0.5185805259932582
0.6900000000000001,Carillon,harmonicity,0.9646121518343718
0.6900000000000001,Harmonic,roughness,0.4744660459726318
0.6900000000000001,Harmonic,harmonicity,1.047160151054961
0.7000000000000001,Carillon,roughness,0.5224752735037932
0.7000000000000001,Carillon,harmonicity,0.9620552875871954
0.7000000000000001,Harmonic,roughness,0.47405173169503145
0.7000000000000001,Harmonic,harmonicity,1.0477353907605598
0.71,Carillon,roughness,0.5262305962821723
0.71,Carillon,harmonicity,0.9584946540142157
0.71,Harmonic,roughness,0.47348893360155475
0.71,Harmonic,harmonicity,1.046989940526954
0.72,Carillon,roughness,0.5298474352867771
0.72,Carillon,harmonicity,0.955332813656721
0.72,Harmonic,roughness,0.4727838618126843
0.72,Harmonic,harmonicity,1.0467590746230682
0.73,Carillon,roughness,0.5333268464628081
0.73,Carillon,harmonicity,0.9519675510037439
0.73,Harmonic,roughness,0.4719426124531613
0.73,Harmonic,harmonicity,1.0464483665977056
0.74,Carillon,roughness,0.536669992532228
0.74,Carillon,harmonicity,0.9484303041009491
0.74,Harmonic,roughness,0.4709711642095769
0.74,Harmonic,harmonicity,1.0463840996236324
0.75,Carillon,roughness,0.5398781351676689
0.75,Carillon,harmonicity,0.9447535318632649
0.75,Harmonic,roughness,0.4698753754053376
0.75,Harmonic,harmonicity,1.045985111608482
0.76,Carillon,roughness,0.5429526275342393
0.76,Carillon,harmonicity,0.9409703016350146
0.76,Harmonic,roughness,0.46866098154991964
0.76,Harmonic,harmonicity,1.0452231368139657
0.77,Carillon,roughness,0.5457865100909228
0.77,Carillon,harmonicity,0.9371138723610227
0.77,Harmonic,roughness,0.4673335933221167
0.77,Harmonic,harmonicity,1.0447933674234218
0.78,Carillon,roughness,0.5486007635208947
0.78,Carillon,harmonicity,0.9345145969548883
0.78,Harmonic,roughness,0.4658986949495025
0.78,Harmonic,harmonicity,1.0443971765007025
0.79,Carillon,roughness,0.5512858425731455
0.79,Carillon,harmonicity,0.9293129586161283
0.79,Harmonic,roughness,0.46436164294883503
