Partial,FrequencyRatio,Amplitude,PartialLabel
0.5,0.49776014864993673,1.2807505400568095,Hum
1,1,1,Prime
1.2,1.195612172401495,0.9752035767881667,Tierce
1.5,1.4942790162656105,0.24305841434085743,Quint
2,1.9942446614128742,0.4262754949161719,Nominal
2.5,2.498913528101293,0.12722176447940137,Deciem
2.61,2.5953480019923543,0.1301132471412775,Undeciem
3,2.9674350580480735,0.32007506079362297,Duodeciem
3.33,3.3103820435269027,0.11736064826582021,III-4
4,4.071572993834301,0.21148745729735713,Upper Octave
5.33,5.313372979836182,0.09924453220894208,Upper Fourth
6.67,6.639164904953923,0.01912122370171746,Upper Sixth
